Sheet: Sheet2
Rows: 345, Cols: 18

Row 1: ['A=提交日期', 'B=商家ID', 'C=商家名稱', 'D=收貨電話', 'E=收貨地址', 'F=大膠袋', 'G=小膠袋', 'H=單杯無紡布袋', 'I=雙杯無紡布袋', 'J=3號無紡布袋', 'K=4號無紡布袋', 'L=紙袋', 'M=紙漿杯2托', 'N=紙漿杯托-4托', 'O=飲品封口紙', 'P=雙杯裝紙袋', 'Q=單杯裝紙袋', 'R=調賬費用']
Row 28: ['A=2026-07-02 00:00:00', 'B=458600', 'C=麥當勞(天平)McDonalds', 'D=852-26392254', 'E=新界上水天平邨天平商場地下122號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=200']
Row 29: ['A=2026-07-02 00:00:00', 'B=458731', 'C=麥當勞(海聯廣場)McDonalds', 'D=852-26763860', 'E=新界粉嶺聯和墟和睦路9號海聯廣場地下2A及2B', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=5', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=1000']
Row 30: ['A=2026-07-02 00:00:00', 'B=461844', 'C=ThePantryChipsRepublic', 'D=852-29555662', 'E=太子道西193號MOKO新世紀廣場4樓436-438號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 31: ['A=2026-07-02 00:00:00', 'B=462068', 'C=麥當勞(皇后山)McDonalds', 'D=852-26872223', 'E=新界粉嶺皇后山邨皇后山商場地下11號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 32: ['A=2026-07-02 00:00:00', 'B=465352', 'C=麥當勞(廣源)McDonalds', 'D=852-26357283', 'E=新界沙田廣源邨廣源商場第三座第二層十三號商舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=4', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=800']
Row 33: ['A=2026-07-02 00:00:00', 'B=468288', 'C=麥當勞(鳳德)McDonalds', 'D=852-23527761', 'E=九龍鑽石山鳳德邨鳳德商場202A號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=4', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=800']
Row 34: ['A=2026-07-02 00:00:00', 'B=468475', 'C=麥當勞(錦泰)McDonalds', 'D=852-31248656', 'E=新界馬鞍山錦泰商場一樓102號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=200']
Row 35: ['A=2026-07-02 00:00:00', 'B=471761', 'C=麥當勞(天秀路)McDonalds', 'D=852-27599439', 'E=天水圍天秀路8號天一商城1樓1018-1019號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 36: ['A=2026-07-02 00:00:00', 'B=471798', 'C=捌加廿陸天婦羅居酒屋天婦羅丼飯專門店（油麻地店）', 'D=852-90835149', 'E=窩打老道31-39號翠園大廈一期地下33A號舖', 'F=10', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=290']
Row 37: ['A=2026-07-02 00:00:00', 'B=471844', 'C=麥當勞(Airside)McDonalds', 'D=852-27453698', 'E=香港九龍啟德協調道2號AIRSIDE 地庫B1層B117號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 38: ['A=2026-07-02 00:00:00', 'B=472048', 'C=麥當勞(又一城III)McDonalds', 'D=852-22658232', 'E=九龍九龍塘達之路80號又一城LG1樓LG1-01A號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=200']
Row 39: ['A=2026-07-02 00:00:00', 'B=474707', 'C=麥當勞（愛民）McDonalds', 'D=852-27577891', 'E=九龍何文田忠孝街60號愛民邨愛民廣場G38A號地下及G38B號A部份地庫', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=4', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=800']
Row 40: ['A=2026-07-02 00:00:00', 'B=475055', 'C=麥當勞(德昌大廈)McDonalds', 'D=852-27854939', 'E=新界葵涌葵涌道1001號德昌大廈一樓3號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=10', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=2000']
Row 41: ['A=2026-07-02 00:00:00', 'B=475056', 'C=麥當勞(荃灣廣場II)McDonalds', 'D=852-24115973', 'E=新界荃灣大壩街4-30號荃灣廣場第五層511-512及511-512A號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 42: ['A=2026-07-02 00:00:00', 'B=475184', 'C=麥當勞(新達廣場II)McDonalds', 'D=852-26529900', 'E=新界大埔南運路9號新達廣場1樓083-085號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 43: ['A=2026-07-02 00:00:00', 'B=475272', 'C=麥當勞(秦石)McDonalds', 'D=852-25275195', 'E=新界沙田盛田街1號秦石邨秦石商場地下8+9號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=3', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=600']
Row 44: ['A=2026-07-02 00:00:00', 'B=475343', 'C=麥當勞(康澤花園)McDonalds', 'D=852-25783870', 'E=香港北角英皇道238號康澤花園地下 B2及 B3號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=4', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=800']
Row 45: ['A=2026-07-02 00:00:00', 'B=477024', 'C=麥當勞(海趣坊)McDonalds', 'D=852-28972108', 'E=香港新界屯門湖翠路168-236號海趣坊一樓55-60號', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
